"pid","brand","season","category","subcategory","subsubcategory","numeric_size","count_size","price","total_sold","total_returned","offline_sales","offline_return","online_sales","online_return","online_percentage","unique_channel_count","SR","SO","introduction_time","introduction_season","first_return","return_rate","yearly_return_rate"
"843e65e1f328875","BoxMix","Summer","Footwear","Adult","Walkers",1,6,63.577,2,0,2,0,0,0,0,1,5,0,0.317808219178082,1,0,0,0.5
"deec536d5436fe6","DocMan","Summer","Miscellaneous","Adult","Tie-Up",1,1,40.79,2,0,0,0,2,0,1,1,5,1,0.164383561643836,0,0,0,0
"15cc7205ba09ea2","CoralTrend","Summer","Footwear","Adult","Easy Footwear",1,5,46.948,4,1,2,0,2,-1,0.5,3,4,2,0.449315068493151,1,0.0657534246575342,0.25,0.169811320754717
"1c708fd2502e86a","SoftTrend","Winter","Button-Ups","Adult","Double Layer",0,4,60.12,11,1,4,-1,7,0,0.636363636363636,4,4,2,0.668493150684932,2,0.0575342465753425,0.0909090909090909,0.107142857142857
"a5856ddd3d6cf59","SkyWing","Summer","Sweaters","Adult","Waist Wrap",0,6,58.405,12,1,10,0,2,-1,0.166666666666667,7,4,2,0.150684931506849,0,0.0438356164383562,0.0833333333333333,0.0806451612903226
"278cd8c0d87b664","Blend&Woven","Summer","Sweaters","Adult","Warm Top",0,5,53.992,1,0,1,0,0,0,0,1,5,0,0.271232876712329,1,0,0,0
"484c292334865a0","DocMan","Winter","Sweaters","Adult","Round-Top",0,2,57.445,3,1,0,0,3,-1,1,1,4,1,0.86027397260274,3,0.073972602739726,0.333333333333333,0.333333333333333
"ca89517a9118800","SkyWing","Summer","Sweaters","Adult","Hood Top",0,5,52.588,10,0,0,0,10,0,1,1,5,1,0.208219178082192,1,0.0575342465753425,0,0.0833333333333333
"9464b636af1d9dc","SpeedThreads","Summer","Button-Ups","Adult","Relaxed Short-Sleeve",0,5,52.582,6,0,5,0,1,0,0.166666666666667,3,5,2,0.30958904109589,1,0,0,0
"bb479141723d32e","PineAndFern","Winter","Sweaters","Adult","Hood Top",0,4,51.807,1,0,0,0,1,0,1,1,5,1,0.227397260273973,1,0,0,0
"8021e6667572c30","SkyWing","Winter","Miscellaneous","Adult","Top Covers",1,1,42.65,2,0,0,0,2,0,1,1,5,1,0.915068493150685,3,0,0,0
"8a5a2f0d1e268cf","TargetStyles","Summer","Sweaters","Petite","Warm Top",0,5,52.576,2,0,0,0,2,0,1,1,5,1,0.010958904109589,0,0,0,0.148148148148148
"3a4a40ee80cb50a","MetalMold","Summer","Button-Ups","Adult","Relaxed Short-Sleeve",0,4,52.58,9,0,8,0,1,0,0.111111111111111,6,5,2,0.30958904109589,1,0,0,0.0384615384615385
"957dfb0beb00a49","SkyWing","Winter","Sweaters","Adult","Round-Top",0,5,57.446,7,0,4,0,3,0,0.428571428571429,2,5,2,0.723287671232877,2,0,0,0
"2623dbaeed3c903","BlueRidge","Winter","Sweaters","Adult","Warm Top",0,6,55.258,12,0,10,0,2,0,0.166666666666667,4,5,2,0.304109589041096,1,0.0465753424657534,0,0.0833333333333333
"232a3c9a94e099c","CanvasCraft","Summer","Button-Ups","Adult","Relaxed Long-Sleeve",0,1,53.99,1,1,0,0,1,-1,1,1,3,1,0.180821917808219,1,0.0219178082191781,1,0.5
"eedf118bc422f6c","SkyWing","Summer","Sweaters","Adult","Hood Top",0,3,53.993,4,0,0,0,4,0,1,1,5,1,0.235616438356164,1,0,0,0.1875
"056bd17e4efbc93","Blend&Woven","Summer","Trousers","Adult","Mini Pants",1,7,50.973,4,1,3,0,1,-1,0.25,4,4,2,0.312328767123288,1,0.0657534246575342,0.25,0.0833333333333333
"2912f088c119f9b","MoonWear","Winter","Trousers","Adult","Lounge Pants",1,6,59.293,4,3,0,0,4,-3,1,1,4,1,0.0164383561643836,0,0.0219178082191781,0.75,0.148936170212766
"340f3186b475f70","CanvasCraft","Summer","Button-Ups","Adult","Relaxed Long-Sleeve",0,1,53.99,1,0,0,0,1,0,1,1,5,1,0.271232876712329,1,0,0,0
"3121642a8a080e1","PineAndFern","Winter","Sweaters","Adult","Round-Top",0,4,51.807,4,0,3,0,1,0,0.25,3,5,2,0.616438356164384,2,0,0,0
"1db0e0c2f3756bf","TulipTread","Winter","High-End Items","End Items","Sleek Belt",1,2,53.99,1,0,1,0,0,0,0,1,5,0,0.646575342465753,2,0,0,0
"7fad23a9ae52584","DarkHarbor","Winter","Sweaters","Petite","Seafarer Top",0,6,57.445,20,0,16,0,4,0,0.2,11,5,2,0.780821917808219,2,0,0,0
"951c86e80a80b15","MeadowMaster","Summer","Tops","Adult","Quick-Sleeve Top",0,3,48.933,7,1,2,-1,5,0,0.714285714285714,3,4,2,0.495890410958904,2,0.0383561643835616,0.142857142857143,0.196428571428571
"5d163bf3bdfdcd1","RefreshStyles","Winter","Footwear","Adult","Fancy Feet",1,7,63.576,10,1,1,0,9,-1,0.9,2,4,2,0.00273972602739726,0,0.0164383561643836,0.1,0.0952380952380952
"5364ac79280c851","SpeedThreads","Summer","Tops","Adult","Sporty Short-Sleeve",0,5,50.98,3,0,1,0,2,0,0.666666666666667,2,5,2,0.249315068493151,1,0,0,0.0434782608695652
"2fa1f10bcfb17b0","OldVine Styles","Summer","Button-Ups","Petite","Relaxed Long-Sleeve",0,6,50.973,41,3,0,0,41,-3,1,1,4,1,0.010958904109589,0,0.0356164383561644,0.0731707317073171,0.0909090909090909
"ffa45ddcaa928e9","SoftTrend","Summer","Sweaters","Adult","Waist Wrap",0,4,61.623,7,0,6,0,1,0,0.142857142857143,4,5,2,0.210958904109589,1,0,0,0.0666666666666667
"00900dca9802b6b","EchoStyles","Winter","High-End Items","End Items","Relaxed Long-Sleeve",0,4,60.05,2,0,0,0,2,0,1,1,5,1,0.920547945205479,3,0,0,0
"aca6fb6ee347e31","Blend&Woven","Winter","Trousers","Adult","Blue Threads",1,11,58.407,12,0,12,0,0,0,0,6,5,0,0.706849315068493,2,0,0,0.0303030303030303
"8bcfc719335ea5a","SkyWing","Winter","Outerwear","Adult","Puff Jacket",0,5,67.62,1,0,0,0,1,0,1,1,5,1,0.786301369863014,2,0,0,0
"0327ab44cd3ef90","SpeedThreads","Winter","Sweaters","Adult","Round-Top",0,5,57.448,4,0,4,0,0,0,0,3,5,0,0.758904109589041,2,0,0,0
"5dcbc3a7e8c3c7e","ZenithMan","Winter","Trousers","Adult","Lounge Pants",1,8,59.295,3,1,2,0,1,-1,0.333333333333333,2,4,2,0.512328767123288,2,0.0712328767123288,0.333333333333333,0.461538461538462
"e4168fc66ee2fac","SoftTrend","Summer","Trousers","Adult","Mini Pants",0,3,58.4,3,0,3,0,0,0,0,2,5,0,0.23013698630137,1,0,0,0.16
"d5e766846b1a059","CanvasCraft","Winter","Button-Ups","Adult","Relaxed Long-Sleeve",0,1,55.26,1,0,0,0,1,0,1,1,5,1,0.641095890410959,2,0,0,0
"7fd998456226bb2","BlueRidge","Summer","Button-Ups","Adult","Double Layer",0,4,61.63,9,0,3,0,6,0,0.666666666666667,4,5,2,0.172602739726027,1,0.0493150684931507,0,0.266666666666667
"24a2978bcd6afc1","FlatField","Winter","Trousers","Adult","Business Bottoms",1,6,57.447,1,0,0,0,1,0,1,1,5,1,0.797260273972603,2,0,0,0
"13a9beb210faf81","SilkLeaf","Summer","Sweaters","Adult","Waist Wrap",1,4,70.63,1,0,0,0,1,0,1,1,5,1,0.306849315068493,1,0,0,0.25
"b645ac4ade0b3fd","DocMan","Summer","Button-Ups","Adult","Business Long-Sleeve",1,8,52.576,7,2,1,0,6,-2,0.857142857142857,2,4,2,0.0712328767123288,0,0.00273972602739726,0.285714285714286,0.16260162601626
"80f670bfce852d4","DarkHarbor","Winter","Outerwear","Petite","Puff Jacket",0,6,63.577,20,0,13,0,7,0,0.35,9,5,2,0.797260273972603,2,0,0,0.16
"58e048fe7db9025","PuzzleWear","Winter","High-End Items","End Items","Business Long-Sleeve",1,6,60.893,3,0,3,0,0,0,0,1,5,0,0.797260273972603,2,0,0,0
"830fa7d697fccb1","CanvasCraft","Winter","Trousers","Adult","Blue Threads",1,1,57.44,2,0,0,0,2,0,1,1,5,1,0.73972602739726,2,0,0,0
"b7619a356f8aeac","MetroMaven","Winter","Sweaters","Adult","High-Neck",0,4,57.44,1,0,0,0,1,0,1,1,5,1,0.797260273972603,2,0,0,0
"8ef5f66dc47c994","PineAndFern","Winter","Sweaters","Adult","Warm Top",0,5,50.984,12,1,0,0,12,-1,1,1,4,1,0.0164383561643836,0,0.00821917808219178,0.0833333333333333,0.259259259259259
"4f809345d9c3ecc","PlaidCrafters","Winter","Button-Ups","Adult","Relaxed Long-Sleeve",0,4,55.258,4,0,1,0,3,0,0.75,2,5,2,0.863013698630137,3,0,0,0
"d409c1e44f24157","CanvasCraft","Summer","Sweaters","Adult","Plunge Top",0,4,55.252,6,0,4,0,2,0,0.333333333333333,5,5,2,0.13972602739726,0,0,0,0.111111111111111
"f05ed52a8e930eb","CanvasCraft","Winter","Button-Ups","Adult","Relaxed Long-Sleeve",0,2,55.26,2,0,0,0,2,0,1,1,5,1,0.736986301369863,2,0,0,0
"f05f00fad03b7f3","CanvasCraft","Summer","Outerwear","Adult","Light Outer",1,2,62.965,2,1,0,0,2,-1,1,1,4,1,0.383561643835616,1,0.0465753424657534,0.5,0.333333333333333
"bd2543b0b0ea41f","MetroMaven","Winter","Sweaters","Adult","High-Neck",0,4,57.442,20,1,19,-1,1,0,0.05,9,4,2,0.761643835616438,2,0.0575342465753425,0.05,0.04
"a9d976af84eccdc","AzureStone","Winter","Trousers","Adult","Blue Threads",1,18,57.449,6,0,4,0,2,0,0.333333333333333,2,5,2,0.76986301369863,2,0,0,0.0909090909090909
"7620a4814d79751","Blend&Woven","Summer","Tops","Adult","Sporty Short-Sleeve",0,5,49.122,15,0,14,0,1,0,0.0666666666666667,8,5,2,0.252054794520548,1,0,0,0.102739726027397
"ee117c9583dae8b","SkyWing","Winter","Outerwear","Adult","Cold Shield",0,5,71.9,55,1,54,-1,1,0,0.0181818181818182,17,4,2,0.73972602739726,2,0.0136986301369863,0.0181818181818182,0.0331491712707182
"8c6ce14fee4c6d4","LunarLuxe","Winter","Sweaters","Adult","Waist Wrap",0,4,57.443,16,2,15,-1,1,-1,0.0625,8,4,2,0.397260273972603,1,0.0356164383561644,0.125,0.160714285714286
"962823dbd332806","SkyGuard","Winter","Outerwear","Adult","Cold Shield",0,3,67.18,4,0,1,0,3,0,0.75,2,5,2,0.857534246575342,3,0,0,0
"8896ba98a5bab94","OrchardM","Winter","Trousers","Adult","Utility Pants",1,14,58.405,10,1,0,0,10,-1,1,1,4,1,0.010958904109589,0,0.0273972602739726,0.1,0.0943396226415094
"497f31f6453d2b6","DocMan","Winter","Sweaters","Adult","High-Neck",0,5,55.258,6,0,4,0,2,0,0.333333333333333,3,5,2,0.843835616438356,3,0,0,0.117647058823529
"b0129f85a7d9023","BlueRidge","Summer","Sweaters","Adult","Round-Top",0,5,55.252,5,2,0,0,5,-2,1,1,4,1,0.0794520547945206,0,0.0246575342465753,0.4,0.180327868852459
"0f0e7f02f8a225a","CanvasCraft","Winter","Outerwear","Adult","Puff Jacket",1,4,65.252,10,0,10,0,0,0,0,7,5,0,0.767123287671233,2,0,0,0.0476190476190476
"b358d6ffc2e5fff","ZenithMan","Summer","Blazers","Adult","Formal Jacket",1,5,71.87,2,0,2,0,0,0,0,2,5,0,0.178082191780822,1,0,0,0.214285714285714
"15ed43d1c34cec2","PineAndFern","Winter","Sweaters","Adult","Hood Top",0,4,51.81,4,0,3,0,1,0,0.25,3,5,2,0.621917808219178,2,0,0,0.0666666666666667
"934849a6e5eb98d","ChillCube","Winter","Tops","Adult","Sporty Short-Sleeve",0,5,52.576,3,0,1,0,2,0,0.666666666666667,2,5,2,0.501369863013699,2,0,0,0.0909090909090909
"8787fd19eb83c31","SkyWing","Summer","Button-Ups","Adult","Relaxed Long-Sleeve",0,5,52.578,4,0,4,0,0,0,0,4,5,0,0.0986301369863014,0,0,0,0.0952380952380952
"0d7f6602f8a287f","TargetStyles","Summer","Tops","Petite","Quick-Sleeve Top",0,5,44.244,30,0,19,0,11,0,0.366666666666667,13,5,2,0.367123287671233,1,0,0,0.11864406779661
"544bc7d9c09f999","TurboTrend","Winter","Footwear","Adult","Fancy Feet",1,6,53.992,13,0,13,0,0,0,0,8,5,0,0.635616438356164,2,0.063013698630137,0,0.0754716981132075
"7aee4372e52146b","CanvasCraft","Winter","Sweaters","Adult","Waist Wrap",0,3,57.447,1,0,1,0,0,0,0,1,5,0,0.671232876712329,2,0,0,0
"c9a91f918c1cb8c","MetroMaven","Summer","Tops","Adult","Quick-Sleeve Top",0,4,49.123,18,0,18,0,0,0,0,10,5,0,0.273972602739726,1,0,0,0.0675675675675676
"6b5e06ea5a2e2bd","MetalMold","Summer","Sweaters","Adult","Round-Top",0,4,52.58,2,1,0,0,2,-1,1,1,4,1,0.0136986301369863,0,0.0246575342465753,0.5,0.346938775510204
"7c1d53a11e8793b","PeakStyles","Winter","Button-Ups","Adult","Business Long-Sleeve",1,8,52.575,6,0,1,0,5,0,0.833333333333333,2,5,2,0.0136986301369863,0,0.063013698630137,0,0.0357142857142857
"b3edbdc449ea22e","FrontlineStyles","Winter","Outerwear","Adult","Core Warmer",0,2,55.255,1,0,0,0,1,0,1,1,5,1,0.676712328767123,2,0,0,0
"a9a8d038c4c35fc","MoonWear","Winter","Button-Ups","Adult","Business Long-Sleeve",0,4,55.258,1,0,1,0,0,0,0,1,5,0,0.23013698630137,1,0,0,0
"143790a4fb82119","DarkHarbor","Summer","Trousers","Petite","Mini Pants",1,6,52.577,1,1,0,0,1,-1,1,1,3,1,0.00547945205479452,0,0.0328767123287671,1,0.226415094339623
"cf61373faf015d1","SoftTrend","Summer","Button-Ups","Adult","Relaxed Long-Sleeve",1,3,60.113,8,1,8,-1,0,0,0,3,4,0,0.23013698630137,1,0.0410958904109589,0.125,0.153846153846154
"093a2a38495be6d","RefreshStyles","Summer","Footwear","Adult","Fancy Feet",1,6,60.898,5,0,5,0,0,0,0,4,5,0,0.232876712328767,1,0,0,0.125
"1bdad9347ee6584","CanvasCraft","Summer","Button-Ups","Adult","Relaxed Long-Sleeve",0,2,53.985,2,0,0,0,2,0,1,1,5,1,0.235616438356164,1,0,0,0
"82cbc27206070e7","SkyWing","Winter","Sweaters","Adult","Waist Wrap",0,5,58.41,4,1,1,-1,3,0,0.75,2,4,2,0.819178082191781,2,0.00821917808219178,0.25,0.105263157894737
"29f926d6169be39","CanvasCraft","Winter","Sweaters","Adult","Round-Top",0,4,55.252,12,1,11,-1,1,0,0.0833333333333333,7,4,2,0.649315068493151,2,0.063013698630137,0.0833333333333333,0.0677966101694915
"7ad11f9001ebf89","MoonWear","Winter","Trousers","Adult","Lounge Pants",1,5,60.122,2,0,2,0,0,0,0,2,5,0,0.515068493150685,2,0,0,0.0555555555555556
"355bb6c30684fd1","ZenithMan","Winter","Sweaters","Adult","Waist Wrap",0,4,61.627,3,0,3,0,0,0,0,2,5,0,0.756164383561644,2,0,0,0.1
"f2ddb4ff2642b20","CanvasCraft","Winter","Button-Ups","Adult","Relaxed Long-Sleeve",0,6,53.992,20,1,18,-1,2,0,0.1,9,4,2,0.827397260273973,3,0.0356164383561644,0.05,0.0882352941176471
"df7a1bba2c45229","Blend&Woven","Summer","Button-Ups","Adult","Relaxed Long-Sleeve",0,4,53.99,4,0,4,0,0,0,0,3,5,0,0.194520547945205,1,0,0,0
"8a80f4b75ef5325","SilkLeaf","Summer","Tops","Adult","Quick-Sleeve Top",1,4,60.12,1,0,1,0,0,0,0,1,5,0,0.320547945205479,1,0,0,0
"e6049aa3c0a3ae5","MetalMold","Summer","Tops","Adult","Quick-Sleeve Top",0,1,46.94,1,0,0,0,1,0,1,1,5,1,0.268493150684932,1,0,0,0
"7c6d3bdebf42f3a","CanvasCraft","Winter","Sweaters","Adult","Round-Top",0,4,57.445,10,1,10,-1,0,0,0,6,4,0,0.673972602739726,2,0.0438356164383562,0.1,0.0434782608695652
"7c7b65a561e5f5d","CanvasCraft","Summer","Button-Ups","Adult","Relaxed Short-Sleeve",0,5,52.578,9,1,8,0,1,-1,0.111111111111111,8,4,2,0.191780821917808,1,0.073972602739726,0.111111111111111,0.04
"9433727a3965f7a","CanvasCraft","Winter","Sweaters","Adult","Waist Wrap",0,1,59.29,1,0,0,0,1,0,1,1,5,1,0.863013698630137,3,0,0,1
"1d902befbfb1610","DocMan","Winter","Sweaters","Adult","High-Neck",0,5,57.446,5,0,5,0,0,0,0,3,5,0,0.657534246575342,2,0,0,0
"dd4c586119c0f3b","CanvasCraft","Summer","Tops","Adult","Sporty Short-Sleeve",0,1,52.57,1,1,0,0,1,-1,1,1,3,1,0.383561643835616,1,0.0328767123287671,1,1
"c894aa44f3cf4b7","DocMan","Winter","Miscellaneous","Adult","Tie-Up",1,1,40.8,3,0,3,0,0,0,0,2,5,0,0.786301369863014,2,0.0383561643835616,0,0
"b1b030ab7bd955d","PlaidCrafters","Summer","Tops","Adult","Sporty Short-Sleeve",0,5,52.584,1,0,0,0,1,0,1,1,5,1,0.243835616438356,1,0,0,0.130434782608696
"8a04ddcf71a3679","FlashBack","Winter","Footwear","Petite","Fancy Feet",1,5,55.26,20,0,20,0,0,0,0,11,5,0,0.326027397260274,1,0,0,0.0515463917525773
"012906408a988ea","GeoStyles","Winter","Footwear","Adult","High-Cuts",1,6,63.577,1,0,1,0,0,0,0,1,5,0,0.813698630136986,2,0,0,0.214285714285714
"0c973d148754e90","PineAndFern","Winter","Tops","Adult","Quick-Sleeve Top",0,4,44.263,10,0,6,0,4,0,0.4,4,5,2,0.386301369863014,1,0,0,0.0952380952380952
"e1a2f5ec090c1b7","OldVine Styles","Summer","Sweaters","Petite","Plunge Top",0,5,50.97,47,1,29,-1,18,0,0.382978723404255,14,4,2,0.153424657534247,0,0.0301369863013699,0.0212765957446809,0.0802005012531328
"b7a215b512d5334","OldVine Styles","Summer","Button-Ups","Petite","Relaxed Short-Sleeve",0,6,49.12,3,0,0,0,3,0,1,1,5,1,0.00273972602739726,0,0,0,0.0422535211267606
"f762c7bd65c26f0","FrontlineStyles","Summer","Sweaters","Adult","Round-Top",0,5,53.998,10,0,9,0,1,0,0.1,7,5,2,0.158904109589041,0,0,0,0.0416666666666667
"e32acb5eb4a269c","MetroMaven","Summer","Tops","Adult","Sporty Short-Sleeve",0,4,52.568,34,0,27,0,7,0,0.205882352941176,13,5,2,0.271232876712329,1,0.0493150684931507,0,0.137096774193548
"2c0c5902896e326","ZenithMan","Winter","Tops","Adult","Sporty Long-Sleeve",0,5,55.25,1,1,0,0,1,-1,1,1,3,1,0.00273972602739726,0,0.00821917808219178,1,0.125
"1e230ecb88015ce","MetalMold","Summer","Button-Ups","Adult","Relaxed Long-Sleeve",0,4,52.578,7,0,7,0,0,0,0,5,5,0,0.167123287671233,1,0,0,0
"3f74f2e0116276c","PlaidCrafters","Winter","Sweaters","Adult","Hood Top",0,5,55.266,2,0,0,0,2,0,1,1,5,1,0.797260273972603,2,0,0,0
"45e68b97ccb8a1a","SkyWing","Summer","Tops","Adult","Sporty Short-Sleeve",0,5,50.98,20,0,17,0,3,0,0.15,10,5,2,0.331506849315069,1,0,0,0.0680272108843537
"1968598c8219575","LunarLuxe","Winter","Sweaters","Adult","Hood Top",0,5,55.254,10,1,8,0,2,-1,0.2,6,4,2,0.643835616438356,2,0.0767123287671233,0.1,0.051948051948052
