"pid","brand","category","price","season","subcategory","subsubcategory","numeric_size","count_size"
"00be94adac524ee","MoonWear","Tops",46.935,"Winter","Adult","Quick-Sleeve Top",0,4
"00bf5bd27cb57b7","BuilderStyles","Trousers",62.966,"Winter","Adult","Lounge Pants",1,5
"00c858927bb9cda","OliveSlate","Tops",50.98,"Summer","Adult","Sporty Short-Sleeve",0,6
"00db129854ecec0","AzureWorks","Button-Ups",56.397,"Winter","Adult","Relaxed Long-Sleeve",1,7
"00df97bb7e48950","RavenRock","Footwear",62.312,"Summer","Adult","Walkers",1,6
"00dfc6bda5ae62b","NullLabel","Formal Attire",76.76,"Summer","Adult","Formal Set",0,1
"00e71ac60451d17","PineAndFern","Sweaters",52.28,"Winter","Adult","Hood Top",0,4
"00ed2a9431432c6","ZenithMan","Sweaters",57.442,"Winter","Adult","Round-Top",0,4
"00ef827aac64e90","FrontlineStyles","Outerwear",63.58,"Winter","Adult","Puff Jacket",0,5
"00f3c0d50ada372","RefreshStyles","Miscellaneous",50.97,"Winter","Adult","Sleek Belt",1,1
"00ff1e139d11d4a","UrbanZen","Outerwear",64.163,"Summer","Adult","Light Outer",1,3
"01025f3e42f4613","SkyWing","Trousers",52.58,"Summer","Adult","Island Shorts",1,1
"010386692ede220","FrontlineStyles","Trousers",54,"Summer","Adult","Mini Pants",1,4
"01117aa19457b97","OceanSketch Elite","Tops",46.932,"Summer","Petite","Sporty Short-Sleeve",0,5
"0111ca6d9ffcd89","MetroMaven","Outerwear",67.61,"Summer","Adult","Light Outer",0,4
"0116b7427486bab","BlueRidge","Tops",50.974,"Summer","Adult","Sporty Short-Sleeve",0,5
"0119de9f1c8c97e","CoralAndFin","Tops",57.442,"Summer","Adult","Sporty Short-Sleeve",0,6
"01200b6683c6680","PineAndFern","Sweaters",52.28,"Winter","Adult","Hood Top",0,4
"01203152d39320a","BlueRiver Co.","Blazers",70.293,"Summer","Petite","Formal Jacket",1,6
"0121befdee2716a","ZenithMan","Tops",55.255,"Winter","Adult","Sporty Short-Sleeve",0,4
"012906408a988ea","GeoStyles","Footwear",63.577,"Winter","Adult","High-Cuts",1,6
"012dd3331c06750","CanvasCraft","Sweaters",57.442,"Summer","Adult","Waist Wrap",0,5
"0131e533758baf8","WineThread","Outerwear",67.18,"Winter","Adult","Puff Jacket",0,5
"013a65f2b7d2105","OldVine Styles","Button-Ups",52.58,"Winter","Petite","Relaxed Long-Sleeve",0,5
"0140612c8790de6","RhythmWear","Sweaters",68.84,"Winter","Adult","Seafarer Top",0,3
"0144d80b961dff4","LunarLuxe","Trousers",55.255,"Summer","Adult","Lounge Bottoms",0,4
"014570d71a5d6e5","MeadowMaster","Tops",56.295,"Summer","Adult","Sporty Short-Sleeve",0,4
"0147a8f26547c54","FrontlineStyles","Miscellaneous",44.27,"Summer","Adult","Waist Hold",1,1
"0151a68fc6d1777","Blend&Woven","Tops",52.578,"Winter","Adult","Extended-Sleeve Top",0,4
"015cdf1db1b95e6","SkyWing","Sweaters",52.58,"Summer","Adult","Round-Top",0,5
"0160fb47bd3f2bf","SoftTrend","Tops",55.255,"Summer","Adult","Sporty Short-Sleeve",0,4
"0163bfa6d3e409a","RhythmWear","Miscellaneous",51.81,"Summer","Adult","Top Covers",1,1
"016539eb958f688","OldVine Styles","Button-Ups",49.116,"Summer","Petite","Relaxed Short-Sleeve",0,5
"016a058b84461a0","SpeedThreads","Blazers",57.448,"Summer","Adult","Sleeveless",1,5
"017c77eed3899bd","Blend&Woven","Sweaters",53.988,"Winter","Adult","Warm Top",0,5
"0183c9ccf44109d","MoonWear","Trousers",59.296,"Winter","Adult","Lounge Pants",1,5
"018e582028fce9e","PineAndFern","Sweaters",55.255,"Winter","Adult","Round-Top",0,4
"01914138faa73a8","MeadowMaster","Sweaters",63.52,"Winter","Adult","Round-Top",0,4
"0192233b525f531","NordicFit","Miscellaneous",44.252,"Summer","Adult","Briefs",0,5
"01ac641e837af2f","SkyWing","Footwear",52.59,"Summer","Adult","Walkers",1,1
"01ad2cb7b332561","SpeedThreads","Trousers",52.12,"Summer","Adult","Island Shorts",1,6
"01ad47da9342316","Blend&Woven","Trousers",50.974,"Summer","Adult","Mini Pants",1,7
"01adb99d3fbd559","SkyWing","Miscellaneous",44.26,"Winter","Adult","Neck Wrap",1,1
"01afb71d47b8580","MetroMaven","Outerwear",71.898,"Winter","Adult","Cold Shield",0,4
"01b00d1bd1994b4","LunarLuxe","Outerwear",71.87,"Winter","Adult","Cold Shield",1,4
"01b516eb331dd41","SkyWing","Trousers",49.12,"Summer","Adult","Water Shorts",0,3
"01bd461aaaa95d9","DocMan","Miscellaneous",49.11,"Summer","Adult","Tie-Up",1,1
"01d6da967912fd3","SkyWing","Button-Ups",52.584,"Summer","Adult","Relaxed Short-Sleeve",0,5
"01dbc38e67876fe","RhythmWear","Tops",54.644,"Summer","Adult","Sporty Short-Sleeve",0,5
"01dca3005746fb5","TulipTread","Footwear",65.763,"Winter","Adult","Walkers",1,7
"01e12abb12390f3","DarkHarbor","Outerwear",60.897,"Summer","Petite","Light Outer",0,6
"01e3598d44723cf","others","Outerwear",66.26,"Winter","Adult","Light Outer",0,4
"01e8e8f61c59b71","GeoStyles","Miscellaneous",50.98,"Summer","Adult","Sleek Belt",1,1
"01eaaade3def240","BlueRiver Co.","Sweaters",57.448,"Winter","Petite","High-Neck",0,5
"01f038579ac66fc","SpeedThreads","Button-Ups",53.998,"Winter","Adult","Relaxed Long-Sleeve",0,5
"01f04dcf0fdffa9","DarkHarbor","Trousers",52.57,"Summer","Petite","Mini Pants",1,6
"01f96ae38f6d2d8","PineAndFern","Tops",40.823,"Winter","Adult","Quick-Sleeve Top",0,4
"01fcdd3e0785c47","MeadowMaster","Button-Ups",58.318,"Winter","Adult","Relaxed Long-Sleeve",0,4
"02022f5a5e7786a","CanvasCraft","Sweaters",55.254,"Summer","Adult","Round-Top",0,5
"02077b0299463b6","LakeStyles","Sweaters",57.458,"Winter","Adult","Hood Top",1,4
"020bf9ac9f65ce1","AzureStone","Outerwear",64.722,"Winter","Adult","Light Outer",1,6
"020e52a9d264e29","OldVine Styles","Trousers",49.125,"Summer","Petite","Mini Pants",1,6
"0211934c0196de3","ChillCube","Sweaters",62.312,"Summer","Adult","Waist Wrap",0,4
"021c43609957971","SkyGuard","Outerwear",62.96,"Summer","Adult","Extended Cover",0,4
"021c571a218eac9","CanvasCraft","Sweaters",53.992,"Winter","Adult","Plunge Top",0,5
"021da6557a66789","VisionMakers","Outerwear",70.63,"Summer","Adult","Light Outer",1,5
"021e0da3b7cc78d","MetalMold","Sweaters",53.992,"Summer","Adult","Round-Top",0,5
"022d1c809ab9c87","ZenithMan","Sweaters",60.125,"Winter","Adult","Seafarer Top",0,4
"022eb0bdb737fdc","CanvasCraft","Button-Ups",53.985,"Winter","Adult","Relaxed Long-Sleeve",0,2
"0233e9ab466fb87","SkyWing","Outerwear",63.58,"Winter","Adult","Puff Jacket",0,5
"023cb652cf08d8f","SkyWing","Tops",44.253,"Summer","Adult","Quick-Sleeve Top",0,3
"02476394fd9ab26","SnowPeak","Outerwear",72.74,"Winter","Adult","Puff Jacket",0,4
"024860cd435c114","MetalMold","Tops",46.95,"Summer","Adult","Quick-Sleeve Top",0,4
"02496c5601d82e2","OceanSketch Elite","Button-Ups",50.972,"Winter","Petite","Hip Long-Sleeve",0,6
"024e56d49f111ee","OliveSlate","Tops",49.127,"Summer","Adult","Sporty Short-Sleeve",0,6
"025064e4d393b0a","FlashBack","Footwear",58.407,"Winter","Petite","Fancy Feet",1,7
"025499070f62a4d","MeadowMaster","Sweaters",59.215,"Winter","Adult","Warm Top",0,4
"025a46f02847297","VisionMakers","Tops",53.308,"Winter","Adult","Quick-Sleeve Top",0,4
"0260d6f2fdeced4","UrbanZen","Outerwear",66.21,"Winter","Adult","Puff Jacket",1,4
"02649e4261a06b2","BoxMix","Footwear",65.252,"Winter","Adult","Walkers",1,6
"0268c00fb2802a3","AzureWorks","Button-Ups",53.99,"Summer","Adult","Relaxed Long-Sleeve",1,7
"026d2ccf64c5674","ChillCube","Sweaters",57.447,"Winter","Adult","Round-Top",0,3
"0274390f5933ae3","DotDash","Tops",56.403,"Summer","Adult","Sporty Short-Sleeve",0,3
"0277047df53a902","RhythmWear","Sweaters",63.272,"Winter","Adult","Hood Top",0,5
"0278a26df73e8be","ChillCube","Tops",52.575,"Summer","Adult","Quick-Sleeve Top",0,4
"0279f92a5d36b90","DocMan","Button-Ups",55.257,"Summer","Adult","Business Long-Sleeve",1,7
"027ad5ccb7f59c4","LunarLuxe","Tops",50.968,"Summer","Adult","Extended-Sleeve Top",0,4
"02838e36fdc3b8c","AzureWorks","Sweaters",55.258,"Winter","Adult","High-Neck",0,4
"0287add3b742590","OrchardM","Trousers",58.41,"Winter","Adult","Business Bottoms",1,11
"028815431be5f2a","MoonWear","Tops",57.45,"Summer","Adult","Sporty Short-Sleeve",0,3
"0290e2226ec04c9","LunarLuxe","Tops",52.575,"Summer","Adult","Sporty Short-Sleeve",0,4
"029d8da97c48e3a","SnowPeak","Outerwear",68.44,"Winter","Adult","Core Warmer",0,1
"029df8205651d51","SnowPeak","Tops",57.352,"Summer","Adult","Sporty Short-Sleeve",0,4
"02b205c0c1a17d7","CanvasCraft","Sweaters",59.295,"Summer","Adult","Waist Wrap",0,2
"02b384708bc6db1","SnowPeak","Tops",53.992,"Winter","Adult","Sporty Short-Sleeve",0,4
"02b9b80f8eae2a9","CanvasCraft","Sweaters",55.24,"Summer","Adult","Round-Top",0,1
"02c4e7440b737b8","PlaidCrafters","Tops",54,"Summer","Adult","Sporty Short-Sleeve",0,5
"02cb8176b9757b4","SoftTrend","Sweaters",61.623,"Summer","Adult","Hood Top",0,4
"02cc82f82df0542","DocMan","Button-Ups",62.314,"Winter","Adult","Double Layer",0,5
"02d44b6c3286201","AzureWorks","Trousers",55.26,"Winter","Adult","Mixable Bottoms",1,5
"02e36e4024bd559","SkyWing","Button-Ups",50.972,"Winter","Adult","Relaxed Long-Sleeve",0,5
"02e395ad33fcc4b","ChillCube","Tops",52.572,"Summer","Adult","Sporty Short-Sleeve",0,5
"02e65108771dd84","AzureMeat","Button-Ups",58.402,"Winter","Adult","Double Layer",0,4
"02e6737e50ba2f1","BlueRiver Co.","Blazers",70.291,"Winter","Petite","Mixable Jacket",1,10
"02ea356bb47286b","LunarLuxe","Tops",52.58,"Summer","Adult","Sporty Short-Sleeve",0,6
"02eef3b7dee7f13","FlashBack","Footwear",57.444,"Summer","Petite","Fancy Feet",1,7
"02f3037bbf6bc12","DocMan","Sweaters",57.444,"Winter","Adult","High-Neck",0,5
"02fa032e22ab613","KickStar","Sweaters",53.996,"Summer","Adult","Waist Wrap",0,5
"02fbad0cdf52b36","PlaidCrafters","Miscellaneous",46.93,"Winter","Adult","Top Covers",1,1
"02ff12e3191b858","LakeStyles","Footwear",56.407,"Winter","Adult","Walkers",1,6
"030243b73ecf575","KickStar","Footwear",56.4,"Winter","Adult","Walkers",1,7
"0303e615b7b626e","FrontlineStyles","Trousers",54,"Summer","Adult","Island Shorts",1,7
"0305d505169ec75","OliveSlate","Outerwear",65.254,"Winter","Adult","Light Outer",0,5
"030629a82e498a2","BlueRiver Co.","Formal Attire",73.31,"Summer","Petite","Formal Set",1,6
"0312614b5ace091","SkyWing","Button-Ups",52.576,"Winter","Adult","Relaxed Long-Sleeve",0,5
"0317ba8acf899b5","SkyWing","Button-Ups",52.58,"Winter","Adult","Relaxed Long-Sleeve",0,5
"0317c35bf599423","OrchardM","Trousers",57.46,"Summer","Adult","Business Bottoms",1,1
"03248a37f59ace2","SnowPeak","Outerwear",71.87,"Winter","Adult","Light Outer",0,4
"0327ab44cd3ef90","SpeedThreads","Sweaters",57.448,"Winter","Adult","Round-Top",0,5
"03281d3ce0407a3","MetalMold","Sweaters",53.992,"Summer","Adult","Hood Top",0,4
"032a0485dc1affd","RhythmWear","Tops",53.308,"Summer","Adult","Sporty Short-Sleeve",0,6
"0338c836f79f770","DocMan","Tops",49.11,"Summer","Adult","Sporty Short-Sleeve",0,1
"033b47958c70258","SkyWing","Outerwear",60.9,"Summer","Adult","Core Warmer",0,5
"033b99611d8dc7f","RhythmWear","Sweaters",63.272,"Winter","Adult","Hood Top",0,5
"033ea727d5a30e3","SpeedThreads","Button-Ups",52.58,"Summer","Adult","Relaxed Short-Sleeve",0,5
"0341bee39b749dc","ZenithMan","Sweaters",60.123,"Winter","Adult","High-Neck",0,4
"03479b8038e9f66","OceanSketch Elite","Button-Ups",50.978,"Winter","Petite","Hip Long-Sleeve",0,6
"034803d0e93bf4c","DocMan","Button-Ups",50.973,"Summer","Adult","Business Long-Sleeve",1,7
"0348d2206d5d644","MetalMold","Trousers",57.446,"Winter","Adult","Lounge Pants",1,17
"034e724e92c1c5e","TargetStyles","Tops",44.252,"Summer","Petite","Quick-Sleeve Top",0,5
"034f0076652b964","MoonWear","Sweaters",62.962,"Summer","Adult","Seafarer Top",0,4
"0356cb4382d927e","ChillCube","Tops",52.576,"Summer","Adult","Sporty Short-Sleeve",0,5
"036020d963651d0","SpeedThreads","Tops",52.586,"Summer","Adult","Sporty Short-Sleeve",0,5
"03605503ec9b214","DarkHarbor","Trousers",53.987,"Summer","Petite","Lounge Pants",1,6
"0362cecc2b20363","BlueRidge","Trousers",71.9,"Summer","Adult","Blue Threads",1,7
"036b26d7e94507d","SnowPeak","Outerwear",67.998,"Summer","Adult","Light Outer",0,4
"036c6c1b6b63659","LunarLuxe","Sweaters",53.988,"Winter","Adult","Warm Top",0,5
"036fe0373eb2099","BlueRiver Co.","Blazers",73.31,"Winter","Petite","Formal Jacket",1,6
"0374d20605d5f73","AzureMeat","Button-Ups",60.123,"Winter","Adult","Double Layer",0,4
"037cec1fda5d6f7","OceanSketch Elite","Button-Ups",50.97,"Winter","Petite","Hip Long-Sleeve",0,5
"038b102b1ccc54f","DocMan","Button-Ups",52.59,"Summer","Adult","Business Long-Sleeve",1,1
"038c8c8c5e4a11b","PineAndFern","Tops",51.82,"Winter","Adult","Sporty Short-Sleeve",0,4
"0395933720f5ee6","MysticLoaf","Footwear",72.48,"Winter","Adult","Walkers",1,5
"03a1a9a28952b07","MeadowMaster","Sweaters",60.83,"Winter","Adult","Seafarer Top",0,4
"03ac5b1c7e6e9f7","ZenithMan","Sweaters",57.446,"Summer","Adult","Round-Top",0,5
"03be78a7af30bc6","TimelessMan","Blazers",72.93,"Winter","Adult","Formal Jacket",1,5
"03c1587c6defb09","VisionMakers","Tops",51.808,"Summer","Adult","Quick-Sleeve Top",0,5
"03c56bad81a65d2","CanvasCraft","Tops",46.923,"Summer","Adult","Quick-Sleeve Top",0,3
"03c61c8f52f4ba0","UrbanZen","Outerwear",67.182,"Summer","Adult","Light Outer",1,4
"03cac7c692f6c2b","SpeedThreads","Tops",49.13,"Summer","Adult","Sporty Short-Sleeve",0,5
"03cd3b45e7a326d","TargetStyles","Tops",44.258,"Summer","Petite","Quick-Sleeve Top",0,5
"03ce5f60c8edee5","MetroMaven","Sweaters",59.295,"Summer","Adult","Warm Top",0,4
"03d6703b58f4c00","MeadowMaster","Tops",58.312,"Summer","Adult","Sporty Short-Sleeve",0,4
"03d6fc9e3c99ffc","RefreshStyles","Miscellaneous",50.97,"Winter","Adult","Sleek Belt",1,1
"03dd7b1ea7cf181","CanvasCraft","Trousers",52.58,"Summer","Adult","Mini Pants",1,1
"03dfb6c0f0350ad","FrontlineStyles","Trousers",58.411,"Summer","Adult","Blue Threads",1,9
"03ee6847a99fdd1","FrontlineStyles","Trousers",55.263,"Winter","Adult","Utility Pants",1,4
"03fa5d8266e2189","GeoStyles","Footwear",62.96,"Winter","Adult","Fancy Feet",1,6
"0400a6a4d896762","OldVine Styles","Sweaters",52.572,"Summer","Petite","Round-Top",0,5
"04080270b0d776b","AzureStone","Sweaters",58.41,"Winter","Adult","High-Neck",0,4
"0408e7c74f13071","MetalMold","Outerwear",70.96,"Winter","Adult","Light Outer",0,4
"040c7e409f2cc77","SkyGuard","Outerwear",66.252,"Winter","Adult","Cold Shield",0,4
"040cf0039b84484","SkyWing","Miscellaneous",42.66,"Summer","Adult","Top Covers",1,1
"040ff6439daaab2","MetalMold","Tops",44.27,"Summer","Adult","Quick-Sleeve Top",0,5
"0411a4259bcac0f","SoftTrend","Sweaters",57.44,"Winter","Adult","Hood Top",0,4
"04140538ee3df08","others","Tops",49.124,"Summer","Petite","Sporty Short-Sleeve",0,5
"04188abdfeb004f","AzureWorks","Button-Ups",53.993,"Summer","Adult","Relaxed Long-Sleeve",1,7
"0418a6e6dac14e2","FrontlineStyles","Button-Ups",54,"Winter","Adult","Relaxed Long-Sleeve",0,2
"041e5fd9f024660","MetroMaven","Sweaters",58.4,"Winter","Adult","Warm Top",0,3
"0420ab94c6799a5","BlueRidge","Trousers",62.968,"Winter","Adult","Blue Threads",1,12
"042ed29a6895986","SnowPeak","Tops",53.867,"Summer","Adult","Sporty Short-Sleeve",0,3
"042fcbe3ced48e6","ZenithMan","Sweaters",57.44,"Summer","Adult","Round-Top",0,4
"043816773196f08","FrontlineStyles","Tops",42.652,"Winter","Adult","Quick-Sleeve Top",0,5
"043883dd80c7c95","PlaidCrafters","Button-Ups",55.26,"Winter","Adult","Relaxed Long-Sleeve",0,4
"0441b6659997fdf","DocMan","Button-Ups",52.583,"Summer","Adult","Business Long-Sleeve",1,3
"04430bfb731cee2","DocMan","Button-Ups",53.99,"Winter","Adult","Business Long-Sleeve",1,5
"04434ba2e9a0bba","others","Tops",49.104,"Summer","Petite","Quick-Sleeve Top",0,5
"04438b135bbcdf7","LunarLuxe","Trousers",55.267,"Summer","Adult","Lounge Bottoms",0,4
"044c12e3b4862a7","MetroMaven","Tops",46.922,"Summer","Adult","Quick-Sleeve Top",0,4
"045285016364f7b","DarkHarbor","Sweaters",52.577,"Winter","Petite","Warm Top",0,6
"045ed866a95a329","CanvasCraft","Sweaters",59.29,"Summer","Adult","Waist Wrap",0,2
"04656e7e6326f4c","ZenithMan","Sweaters",58.402,"Summer","Adult","Round-Top",0,4
"0465ef0633a4aef","TargetStyles","Tops",44.25,"Winter","Petite","Quick-Sleeve Top",0,5
"04736aca0d9607f","MoonWear","Sweaters",62.308,"Winter","Adult","Waist Wrap",0,4
"04748ef35db8103","SkyGuard","Outerwear",65.252,"Winter","Adult","Puff Jacket",0,4
"0478e56e1c2d733","others","Sweaters",50.974,"Winter","Petite","Warm Top",0,5
"047ef7162c74292","Blend&Woven","Sweaters",61.627,"Winter","Adult","Seafarer Top",0,3
"049179fd1f18595","DocMan","Button-Ups",57.449,"Summer","Adult","Business Long-Sleeve",1,7
"04949476342ec7a","FrontlineStyles","Tops",50.988,"Summer","Adult","Sporty Short-Sleeve",0,5
"0495a77848c2073","MetalMold","Tops",49.127,"Summer","Adult","Sporty Short-Sleeve",0,4
"049975670b1755d","MoonWear","Trousers",58.404,"Summer","Adult","Lounge Pants",1,5
"049c7cede9be0df","RavenRock","Footwear",60.9,"Summer","Adult","Walkers",1,6
"049f148606708ad","SkyWing","Button-Ups",55.26,"Winter","Adult","Relaxed Long-Sleeve",0,5
"04a1e502d3609f8","SpeedThreads","Sweaters",59.298,"Winter","Adult","Waist Wrap",0,5
"04a815fdcbc1c6f","DocMan","Tops",49.118,"Summer","Adult","Sporty Long-Sleeve",0,5
"04a9f649b0637aa","OliveSlate","Trousers",55.258,"Winter","Adult","Mixable Bottoms",0,4
"04b7b4e327ffb42","OrchardM","Trousers",57.447,"Summer","Adult","Lounge Pants",1,10
"04c42d21e7eec6e","DocMan","Miscellaneous",49.13,"Summer","Adult","Tie-Up",1,1
"04c46783cfb0752","SkyWing","Trousers",57.449,"Winter","Adult","Utility Pants",1,14
"04c5250a8615b97","SoftTrend","Sweaters",60.12,"Summer","Adult","Seafarer Top",0,4
"04d10758be11cc3","PureDenim","Trousers",58.318,"Summer","Adult","Blue Threads",1,13
"04d227ea377e91c","AzureStone","Trousers",56.405,"Winter","Adult","Lounge Pants",1,18
"04d5f4da68ceceb","AzureWorks","Button-Ups",53.99,"Winter","Adult","Relaxed Long-Sleeve",1,7
"04d798112ea9639","SkyWing","Tops",46.915,"Summer","Adult","Quick-Sleeve Top",0,2
"04dae410ab4d546","BigStone","Tops",58.86,"Summer","Adult","Sporty Short-Sleeve",1,4
"04f5d115b20b680","MoonWear","Button-Ups",53.992,"Summer","Adult","Business Short-Sleeve",0,4
"04fa13bf85f5125","AzureMeat","Sweaters",57.442,"Winter","Adult","Round-Top",0,4
"04fbfce3a825283","MetalMold","Button-Ups",52.582,"Summer","Adult","Relaxed Short-Sleeve",0,4
"04fd69bf9083e2b","FlashBack","Footwear",59.296,"Summer","Petite","Fancy Feet",1,7
"04ff1bc09774e71","PlaidCrafters","Tops",44.274,"Summer","Adult","Quick-Sleeve Top",0,5
"050c31b8f28d451","SkyWing","Trousers",52.581,"Summer","Adult","Mini Pants",1,9
"050f24a550d0fab","DocMan","Button-Ups",50.97,"Winter","Adult","Business Long-Sleeve",1,1
"050f3d9e41facf8","RosePath","Trousers",68.441,"Summer","Adult","Blue Threads",1,7
"0512a718d092629","BlueRidge","Sweaters",59.296,"Summer","Adult","Hood Top",0,5
"0516ac7d976520b","LunarLuxe","Sweaters",55.258,"Summer","Adult","Round-Top",0,4
"0518fc68fca5b27","GeoStyles","Footwear",62.96,"Summer","Adult","Easy Shoes",1,6
"05190a802728d75","CanvasCraft","Tops",53.993,"Summer","Adult","Sporty Short-Sleeve",0,6
"051a6cc5a142a6a","DocMan","Trousers",59.295,"Summer","Adult","Business Bottoms",1,6
"05226e8b0ecb96f","EchoStyles","Sweaters",62.248,"Winter","Adult","Waist Wrap",0,4
"05249c8ab0f1fe8","RavenRock","Footwear",61.562,"Summer","Adult","Walkers",1,6
"0528ca78a7d12f7","PineAndFern","Sweaters",56.405,"Winter","Adult","Round-Top",0,4
"052bf008bef3ec3","ZenithMan","Tops",55.258,"Winter","Adult","Sporty Short-Sleeve",0,4
"052d0bf230b9a68","FrontlineStyles","Sweaters",60.128,"Winter","Adult","Waist Wrap",0,5
"0531fb0f767e3ac","SkyWing","Sweaters",57.447,"Summer","Adult","Waist Wrap",0,6
"05364d54b366237","MetroMaven","Sweaters",55.245,"Summer","Adult","Warm Top",0,4
"053d3373691a2c7","BuilderStyles","Trousers",60.122,"Summer","Adult","Lounge Pants",1,6
"053e4691acd732c","DocMan","Tops",50.98,"Summer","Adult","Sporty Short-Sleeve",0,2
"0546a2d04ee7a47","SkyWing","Tops",46.942,"Summer","Adult","Quick-Sleeve Top",0,5
"054dbffb52556df","SkyWing","Tops",50.985,"Summer","Adult","Sporty Short-Sleeve",0,6
"05502592df6e388","OliveSlate","Sweaters",57.45,"Winter","Adult","Waist Wrap",0,3
"0552deb9939d0a3","CanvasCraft","Button-Ups",52.575,"Winter","Adult","Relaxed Long-Sleeve",0,4
"055579c31eb7fec","SkyWing","Button-Ups",56.406,"Winter","Adult","Relaxed Long-Sleeve",0,5
"055628ab38d631a","SkyWing","Tops",46.942,"Summer","Adult","Quick-Sleeve Top",0,5
"056bd17e4efbc93","Blend&Woven","Trousers",50.973,"Summer","Adult","Mini Pants",1,7
"056d5b19740ceb5","BigStone","Sweaters",64.722,"Winter","Adult","High-Neck",1,4
"0572ac85df54bfc","OceanSketch Elite","Button-Ups",50.975,"Winter","Petite","Hip Long-Sleeve",0,6
"05744339c304f21","VisionMakers","Button-Ups",65.763,"Summer","Adult","Double Layer",0,3
"057c6e5715a4f09","KickStar","Tops",45.66,"Winter","Adult","Quick-Sleeve Top",0,4
"058034181bfc5f6","others","Button-Ups",50.974,"Summer","Petite","Relaxed Long-Sleeve",0,5
"058265c9381ce58","CanvasCraft","Tops",50.08,"Summer","Adult","Sporty Short-Sleeve",0,5
"0582de5f17d85fd","MeadowMaster","Sweaters",60.045,"Summer","Adult","Hood Top",0,4
